BARTRAC-REF;FML-REF;SHIPPING-FOLDER-LOCATION;SHIPPING-FILE-LOCATION
BA3111;2602DSI2772;C:\Users\Jason\FML Freight Solutions\FML Doc Share - Documents\BARTRAC\CARGO TO ARRIVE AT DBN PORT\2602DSI2772 - BA3111 - CAT DE330E0 GENSET - 25-03;2602DSI2772.md
BA3108;2602DSI2773;C:\Users\Jason\FML Freight Solutions\FML Doc Share - Documents\BARTRAC\CARGO TO ARRIVE AT DBN PORT\2602DSI2773 - BA3108 BA3110 - 2 X CAT DE250E0 GENSETS - 29-03;2602DSI2773.md
BA3110;2602DSI2773;C:\Users\Jason\FML Freight Solutions\FML Doc Share - Documents\BARTRAC\CARGO TO ARRIVE AT DBN PORT\2602DSI2773 - BA3108 BA3110 - 2 X CAT DE250E0 GENSETS - 29-03;2602DSI2773.md
BA3157;2602DSI2780;C:\Users\Jason\FML Freight Solutions\FML Doc Share - Documents\BARTRAC\CARGO TO ARRIVE AT DBN PORT\2602DSI2780 - BA3157 - CAT14-15 - ON HOLD 21-03;2602DSI2780.md
BA3097;2602DSI2782;C:\Users\Jason\FML Freight Solutions\FML Doc Share - Documents\BARTRAC\CARGO TO ARRIVE AT DBN PORT\2602DSI2782 - BA3097 - CAT6015 HYD MINING SHOVEL - KCC - 07-04;2602DSI2782.md
BA2950;2602DSI2783;C:\Users\Jason\FML Freight Solutions\FML Doc Share - Documents\BARTRAC\CARGO TO ARRIVE AT DBN PORT\2602DSI2783 - BA2950 - EG20 - KAMOA - 18-04;2602DSI2783.md
BA3127;2603DSI2787;C:\Users\Jason\FML Freight Solutions\FML Doc Share - Documents\BARTRAC\CARGO TO ARRIVE AT DBN PORT\2603DSI2787 - BA3127 - CAT D8GC - ON HOLD - 21-03;2603DSI2787.md
BA2951;2603DSI2788;C:\Users\Jason\FML Freight Solutions\FML Doc Share - Documents\BARTRAC\CARGO TO ARRIVE AT DBN PORT\2603DSI2788 - BA2951 - EG20 - KAMOA - 09-05;2603DSI2788.md
BA3009;2603DSIUNOK;C:\Users\Jason\FML Freight Solutions\FML Doc Share - Documents\BARTRAC\CARGO TO ARRIVE AT DBN PORT\BA3009 - EG20 - KCC;BA3009.md
BA3169;2603DSIUNOK;C:\Users\Jason\FML Freight Solutions\FML Doc Share - Documents\BARTRAC\CARGO TO ARRIVE AT DBN PORT\BA3169 BA3170 BA3171 - 3 X CAT777 - ERG 15-04;BA3169.md
BA3170;2603DSIUNOK;C:\Users\Jason\FML Freight Solutions\FML Doc Share - Documents\BARTRAC\CARGO TO ARRIVE AT DBN PORT\BA3169 BA3170 BA3171 - 3 X CAT777 - ERG 15-04;BA3170.md
BA3171;2603DSIUNOK;C:\Users\Jason\FML Freight Solutions\FML Doc Share - Documents\BARTRAC\CARGO TO ARRIVE AT DBN PORT\BA3169 BA3170 BA3171 - 3 X CAT777 - ERG 15-04;BA3171.md
BA3192;2603DSIUNOK;C:\Users\Jason\FML Freight Solutions\FML Doc Share - Documents\BARTRAC\CARGO TO ARRIVE AT DBN PORT\BA3192 - CAT16-15A - ERG;BA3192.md
BA3193;2603DSIUNOK;C:\Users\Jason\FML Freight Solutions\FML Doc Share - Documents\BARTRAC\CARGO TO ARRIVE AT DBN PORT\BA3193 - CAT16-15A - ERG;BA3193.md
