BARTRAC-REF;FML-REF;SHIPPING-FOLDER-LOCATION;SHIPPING-FILE-LOCATION
BA3088;2601DSI2753;C:\Users\Jason\Obsidian\SHIPPING\BA3088\2601DSI2753 - BA3088 - CAT AD63 UNDERGROUND MINING TRUCK - CE KOLWEZI;2602DSI2778-BA3088.md
BA3089;2601DSI2754;C:\Users\C:\Users\Jason\Obsidian\SHIPPING\\2601DSI2754 - BA3089 - CAT AD63 UNDERGROUND MINING TRUCK - CE KOLWEZI;2602DSI2778-BA3089.md
BA3091;2602DSI2778;C:\Users\Jason\Obsidian\SHIPPING\BA3091\2602DSI2778 - BA3091 - CAT R2900XE - CE KOLWEZI;2602DSI2778-BA3091.md
BA3092;2603DSI2786;C:\Users\Jason\Obsidian\SHIPPING\BA3092\2603DSI2786 - BA3092 - CAT R2900XE - CE - 21-03;2603DSI2786-BA3092.md
BA3160;2602DSI2781;C:\Users\Jason\Obsidian\SHIPPING\BA3160\2602DSI2781 - BA3160 - CAT18-15A - KCC - 21-03;2602DSI2781-BA3160.md
BA3101;2602DSI2779;C:\Users\Jason\Obsidian\SHIPPING\BA3101\2602DSI2779 - BA3101 - CAT18-15A - KCC - 21-03;2602DSI2779-BA3101.md
BA2867;2602DRE2775;C:\Users\Jason\Obsidian\SHIPPING\BA2867\2602DRE2775 - BA2867 - ETT 90T DIESEL TANK FOR CAT777 - SAKANIA;2602DRE2775-BA2867.md
BA3073;2601DSI2769;C:\Users\Jason\Obsidian\SHIPPING\BA3073\2601DSI2769 - 8 X CAT GENSETS - CE;2601DSI2769.md
BA3074;2601DSI2769;C:\Users\Jason\Obsidian\SHIPPING\BA3074\2601DSI2769 - 8 X CAT GENSETS - CE;2601DSI2769.md
BA3075;2601DSI2769;C:\Users\Jason\Obsidian\SHIPPING\BA3075\2601DSI2769 - 8 X CAT GENSETS - CE;2601DSI2769.md
BA3076;2601DSI2769;C:\Users\Jason\Obsidian\SHIPPING\BA3076\2601DSI2769 - 8 X CAT GENSETS - CE;2601DSI2769.md
BA3077;2601DSI2769;C:\Users\Jason\Obsidian\SHIPPING\BA3077\2601DSI2769 - 8 X CAT GENSETS - CE;2601DSI2769.md
BA3078;2601DSI2769;C:\Users\Jason\Obsidian\SHIPPING\BA3078\2601DSI2769 - 8 X CAT GENSETS - CE;2601DSI2769.md
BA3082;2601DSI2769;C:\Users\Jason\Obsidian\SHIPPING\BA3082\2601DSI2769 - 8 X CAT GENSETS - CE;2601DSI2769.md
BA3102;2602DSI2769;C:\Users\Jason\Obsidian\SHIPPING\BA3102\2602DSI2769 - 8 X CAT GENSETS - CE;2601DSI2769.md
BA3061;2601DSI2768;C:\Users\Jason\Obsidian\SHIPPING\BA3061\2601DSI2768 - 10 X CAT GENSETS - CE;2601DSI2768.md
BA3062;2601DSI2768;C:\Users\Jason\Obsidian\SHIPPING\BA3062\2601DSI2768 - 10 X CAT GENSETS - CE;2601DSI2768.md
